ticker,exists,rows,elapsed_s,note
1707.T,no,0,1.17,empty-history
1708.T,no,0,1.19,empty-history
1709.T,no,0,1.00,empty-history
1710.T,no,0,0.98,empty-history
1713.T,no,0,1.00,empty-history
1714.T,no,0,1.00,empty-history
1715.T,no,0,1.43,empty-history
1722.T,no,0,0.98,empty-history
1725.T,no,0,0.11,empty-history
1727.T,no,0,1.55,empty-history
1728.T,no,0,0.99,empty-history
1729.T,no,0,0.99,empty-history
1730.T,no,0,0.99,empty-history
1731.T,no,0,1.12,empty-history
1732.T,no,0,0.99,empty-history
1733.T,no,0,0.99,empty-history
1734.T,no,0,1.25,empty-history
1735.T,no,0,1.37,empty-history
1737.T,no,0,1.12,empty-history
1738.T,no,0,1.01,empty-history
1739.T,no,0,1.13,empty-history
1740.T,no,0,0.11,empty-history
1741.T,no,0,1.13,empty-history
1742.T,no,0,0.11,empty-history
1744.T,no,0,1.11,empty-history
1745.T,no,0,1.01,empty-history
1746.T,no,0,0.98,empty-history
1747.T,no,0,0.98,empty-history
1748.T,no,0,1.01,empty-history
1749.T,no,0,1.02,empty-history
1750.T,no,0,1.81,empty-history
1751.T,no,0,0.98,empty-history
1752.T,no,0,1.10,empty-history
1753.T,no,0,0.99,empty-history
1754.T,no,0,1.01,empty-history
1755.T,no,0,0.10,empty-history
1756.T,no,0,1.12,empty-history
1757.T,no,0,1.00,empty-history
1759.T,no,0,1.00,empty-history
1760.T,no,0,1.32,empty-history
1761.T,no,0,1.22,empty-history
1763.T,no,0,1.00,empty-history
1765.T,no,0,1.00,empty-history
1767.T,no,0,0.10,empty-history
1769.T,no,0,0.98,empty-history
1771.T,no,0,1.11,empty-history
1772.T,no,0,0.99,empty-history
1774.T,no,0,0.99,empty-history
1775.T,no,0,1.26,empty-history
1777.T,no,0,0.98,empty-history
1778.T,no,0,0.11,empty-history
1779.T,no,0,0.98,empty-history
1781.T,no,0,1.52,empty-history
1782.T,no,0,1.26,empty-history
1784.T,no,0,1.38,empty-history
1785.T,no,0,1.00,empty-history
1789.T,no,0,2.06,empty-history
1790.T,no,0,1.02,empty-history
1791.T,no,0,1.00,empty-history
1792.T,no,0,0.11,empty-history
1794.T,no,0,1.01,empty-history
1796.T,no,0,0.11,empty-history
1797.T,no,0,0.99,empty-history
1800.T,no,0,1.01,empty-history
1804.T,no,0,0.11,empty-history
1805.T,no,0,0.99,empty-history
1806.T,no,0,0.25,empty-history
1809.T,no,0,0.99,empty-history
1816.T,no,0,0.11,empty-history
1817.T,no,0,0.11,empty-history
1818.T,no,0,0.11,empty-history
1819.T,no,0,0.11,empty-history
1823.T,no,0,0.11,empty-history
1824.T,no,0,0.98,empty-history
1825.T,no,0,0.10,empty-history
1829.T,no,0,0.24,empty-history
1830.T,no,0,0.99,empty-history
1831.T,no,0,1.12,empty-history
1832.T,no,0,1.20,empty-history
1834.T,no,0,0.10,empty-history
1836.T,no,0,0.24,empty-history
1837.T,no,0,0.11,empty-history
1838.T,no,0,0.10,empty-history
1839.T,no,0,0.11,empty-history
1842.T,no,0,1.01,empty-history
1843.T,no,0,0.99,empty-history
1845.T,no,0,0.99,empty-history
1846.T,no,0,0.13,empty-history
1849.T,no,0,0.99,empty-history
1851.T,no,0,0.11,empty-history
1854.T,no,0,0.11,empty-history
1855.T,no,0,0.11,empty-history
1856.T,no,0,1.05,empty-history
1857.T,no,0,1.32,empty-history
1858.T,no,0,0.11,empty-history
1859.T,no,0,1.03,empty-history
1862.T,no,0,0.10,empty-history
1863.T,no,0,0.11,empty-history
1864.T,no,0,1.18,empty-history
1865.T,no,0,0.98,empty-history
1868.T,no,0,0.14,empty-history
1869.T,no,0,0.98,empty-history
1872.T,no,0,0.11,empty-history
1874.T,no,0,1.12,empty-history
1875.T,no,0,1.01,empty-history
1876.T,no,0,0.97,empty-history
1877.T,no,0,0.11,empty-history
1880.T,no,0,0.10,empty-history
1881.T,no,0,1.24,empty-history
1883.T,no,0,1.00,empty-history
1884.T,no,0,0.50,empty-history
1886.T,no,0,0.11,empty-history
1889.T,no,0,0.10,empty-history
1891.T,no,0,0.99,empty-history
1892.T,no,0,1.01,empty-history
1894.T,no,0,1.12,empty-history
1895.T,no,0,0.11,empty-history
1896.T,no,0,0.11,empty-history
1900.T,no,0,0.11,empty-history
1901.T,no,0,1.00,empty-history
1902.T,no,0,1.13,empty-history
1903.T,no,0,0.98,empty-history
1906.T,no,0,0.97,empty-history
1907.T,no,0,0.11,empty-history
1908.T,no,0,1.12,empty-history
1910.T,no,0,0.98,empty-history
1912.T,no,0,0.98,empty-history
1913.T,no,0,1.01,empty-history
1915.T,no,0,1.13,empty-history
1916.T,no,0,0.13,empty-history
1917.T,no,0,0.11,empty-history
1918.T,no,0,0.98,empty-history
1919.T,no,0,0.11,empty-history
1920.T,no,0,0.12,empty-history
1922.T,no,0,0.10,empty-history
1923.T,no,0,0.11,empty-history
1924.T,no,0,0.11,empty-history
1927.T,no,0,0.99,empty-history
1931.T,no,0,0.16,empty-history
1932.T,no,0,0.11,empty-history
1933.T,no,0,0.15,empty-history
1935.T,no,0,0.13,empty-history
1936.T,no,0,1.13,empty-history
1937.T,no,0,0.14,empty-history
1940.T,no,0,0.11,empty-history
1943.T,no,0,0.10,empty-history
1947.T,no,0,0.11,empty-history
1953.T,no,0,0.99,empty-history
1954.T,no,0,1.18,empty-history
1955.T,no,0,0.10,empty-history
1956.T,no,0,0.14,empty-history
1957.T,no,0,0.12,empty-history
1958.T,no,0,0.11,empty-history
1962.T,no,0,0.99,empty-history
1970.T,no,0,0.11,empty-history
1971.T,no,0,1.29,empty-history
1973.T,no,0,0.98,empty-history
1974.T,no,0,0.11,empty-history
1977.T,no,0,0.98,empty-history
1978.T,no,0,0.11,empty-history
1983.T,no,0,1.35,empty-history
1984.T,no,0,0.28,empty-history
1985.T,no,0,0.98,empty-history
1986.T,no,0,1.22,empty-history
1987.T,no,0,0.14,empty-history
1988.T,no,0,0.11,empty-history
1989.T,no,0,0.14,empty-history
