ticker,cross_month,ma9,ma24,latest_close
3186.T,2025-12,2124.93,2004.67,4235.0
6340.T,2026-02,3444.25,3435.48,4240.0
4746.T,2026-02,3976.94,3971.25,4250.0
4928.T,2026-06,4498.33,4476.75,4250.0
3436.T,2026-04,1621.86,1500.66,4254.0
9880.T,2025-12,1539.27,1486.84,4260.0
1697.T,2026-02,3943.78,3924.12,4299.0
3560.T,2026-01,3210.37,3182.64,4315.0
9042.T,2026-02,4095.8,4050.87,4329.0
7944.T,2026-04,3607.17,3523.47,4335.0
2090.T,2026-02,4449.46,4410.55,4373.0
3156.T,2026-01,2578.51,2529.96,4410.0
9661.T,2026-01,4602.25,4600.7,4480.0
7911.T,2025-12,4062.23,4051.49,4515.0
7433.T,2026-06,4124.89,4031.96,4530.0
7715.T,2026-03,2403.88,2343.68,4535.0
5480.T,2025-12,4062.8,4061.51,4585.0
6479.T,2026-02,2821.61,2708.94,4628.0
6266.T,2026-05,2522.15,2501.54,4635.0
9706.T,2026-04,4825.84,4797.47,4657.0
6779.T,2026-03,1021.65,982.56,4660.0
5302.T,2026-03,4385.03,4326.03,4695.0
4025.T,2026-03,3689.26,3570.76,4700.0
1671.T,2026-02,3095.78,3092.62,4703.0
6723.T,2026-04,2240.29,2182.51,4734.0
5384.T,2026-03,2448.7,2364.18,4800.0
6254.T,2026-02,3147.35,3046.29,4805.0
5711.T,2025-12,2634.49,2550.78,4836.0
6323.T,2026-01,2170.4,2111.49,4864.0
6943.T,2026-03,4551.71,4536.47,4930.0
2644.T,2026-04,2754.42,2625.69,4934.0
1904.T,2026-01,4112.52,3999.8,4950.0
6521.T,2026-02,2051.0,1979.79,5060.0
2839.T,2026-01,5130.56,5128.65,5076.0
7581.T,2025-12,5162.66,5129.75,5210.0
2780.T,2026-04,3521.18,3480.08,5220.0
9104.T,2026-02,4717.48,4701.52,5264.0
8074.T,2025-12,4738.27,4686.69,5270.0
4967.T,2026-05,5520.9,5494.62,5300.0
6125.T,2025-12,4346.37,4314.84,5360.0
6963.T,2025-12,1948.45,1861.81,5509.0
6302.T,2026-01,3667.73,3541.99,5559.0
4187.T,2025-12,3095.35,2996.82,5850.0
9075.T,2026-01,3774.8,3695.75,5970.0
6800.T,2025-12,1601.11,1583.05,6050.0
6645.T,2026-06,4812.94,4698.76,6134.0
6877.T,2025-12,3770.67,3717.87,6160.0
